trial_id,label,cue_on_ts,imagery_on_ts,imagery_off_ts,relax_off_ts,notes,valid
1,UP,1767330421.3516867,1767330422.3516867,1767330426.3516867,1767330428.1238527,,True
2,UP,1767330429.3754423,1767330430.3754423,1767330434.3754423,1767330436.719434,,True
3,RIGHT,1767330437.7281873,1767330438.7281873,1767330442.7281873,1767330444.6206615,,True
4,UP,1767330445.754718,1767330446.754718,1767330450.754718,1767330452.6128294,,True
5,RIGHT,1767330453.7758787,1767330454.7758787,1767330458.7758787,1767330460.6811786,,True
6,DOWN,1767330461.8001506,1767330462.8001506,1767330466.8001506,1767330468.581861,,True
7,RIGHT,1767330469.8207686,1767330470.8207686,1767330474.8207686,1767330477.0954883,,True
8,LEFT,1767330478.110432,1767330479.110432,1767330483.110432,1767330485.1255882,,True
9,DOWN,1767330486.1344507,1767330487.1344507,1767330491.1344507,1767330492.6739466,,True
10,DOWN,1767330494.1456728,1767330495.1456728,1767330499.1456728,1767330501.4744742,,True
11,LEFT,1767330502.4885244,1767330503.4885244,1767330507.4885244,1767330509.337091,,True
12,RIGHT,1767330510.4999402,1767330511.4999402,1767330515.4999402,1767330517.121475,,True
13,UP,1767330518.5208127,1767330519.5208127,1767330523.5208127,1767330525.459471,,True
14,RIGHT,1767330526.5353034,1767330527.5353034,1767330531.5353034,1767330533.73409,,True
15,RIGHT,1767330534.7541065,1767330535.7541065,1767330539.7541065,1767330541.3516243,,True
16,LEFT,1767330542.767434,1767330543.767434,1767330547.767434,1767330549.569343,,True
17,UP,1767330550.7912514,1767330551.7912514,1767330555.7912514,1767330558.1490989,,True
18,RIGHT,1767330559.1670969,1767330560.1670969,1767330564.1670969,1767330566.332221,,True
19,RIGHT,1767330567.346949,1767330568.346949,1767330572.346949,1767330574.219341,,True
20,UP,1767330575.3570454,1767330576.3570454,1767330580.3570454,1767330582.642215,,True
